ts_event,symbol,open,high,low,close,volume
2016-10-02 00:00:00+00:00,CL.c.0,48040000000.0,48040000000.0,47780000000.0,47810000000.0,4310
2016-10-02 00:00:00+00:00,GC.c.1,1319100000000.0,1319100000000.0,1316800000000.0,1317300000000.0,15
2016-10-02 00:00:00+00:00,CL.c.1,48640000000.0,48640000000.0,48350000000.0,48370000000.0,726
2016-10-03 00:00:00+00:00,ZC.c.1,346000000000.0,357500000000.0,345000000000.0,355500000000.0,23081
2016-10-03 00:00:00+00:00,NG.c.0,2885000000.0,2937000000.0,2866000000.0,2896000000.0,84961
2016-10-03 00:00:00+00:00,SI.c.1,19085000000.0,19130000000.0,18755000000.0,18805000000.0,26
2016-10-03 00:00:00+00:00,GC.c.1,1316800000000.0,1320000000000.0,1310000000000.0,1312800000000.0,336
2016-10-03 00:00:00+00:00,ZW.c.0,399750000000.0,401750000000.0,391500000000.0,395250000000.0,62036
2016-10-03 00:00:00+00:00,GC.c.0,1313500000000.0,1316800000000.0,1308200000000.0,1310300000000.0,78
2016-10-03 00:00:00+00:00,SI.c.0,18870000000.0,18870000000.0,18800000000.0,18800000000.0,9
2016-10-03 00:00:00+00:00,HG.c.1,2188500000.0,2191500000.0,2163000000.0,2189000000.0,52
2016-10-03 00:00:00+00:00,NG.c.1,3115000000.0,3175000000.0,3112000000.0,3144000000.0,18577
2016-10-03 00:00:00+00:00,CL.c.0,47800000000.0,49020000000.0,47790000000.0,48710000000.0,381335
2016-10-03 00:00:00+00:00,HG.c.0,2187000000.0,2187000000.0,2165500000.0,2184500000.0,71
2016-10-03 00:00:00+00:00,ZW.c.1,422500000000.0,423750000000.0,413750000000.0,417250000000.0,6796
2016-10-03 00:00:00+00:00,ZC.c.0,336250000000.0,347750000000.0,335250000000.0,346000000000.0,193618
2016-10-03 00:00:00+00:00,CL.c.1,48370000000.0,49600000000.0,48360000000.0,49290000000.0,49871
2016-10-04 00:00:00+00:00,ZC.c.1,355000000000.0,359000000000.0,353250000000.0,358250000000.0,15073
2016-10-04 00:00:00+00:00,GC.c.1,1311300000000.0,1312300000000.0,1267800000000.0,1268700000000.0,1436
2016-10-04 00:00:00+00:00,SI.c.1,18765000000.0,18770000000.0,17730000000.0,17770000000.0,71
2016-10-04 00:00:00+00:00,ZC.c.0,345000000000.0,349000000000.0,343500000000.0,348000000000.0,129468
2016-10-04 00:00:00+00:00,ZW.c.0,396500000000.0,398250000000.0,392500000000.0,394500000000.0,32397
2016-10-04 00:00:00+00:00,GC.c.0,1307600000000.0,1310200000000.0,1266300000000.0,1267000000000.0,258
2016-10-04 00:00:00+00:00,SI.c.0,18500000000.0,18500000000.0,18000000000.0,18000000000.0,2
2016-10-04 00:00:00+00:00,HG.c.1,2182000000.0,2182000000.0,2161000000.0,2166500000.0,53
2016-10-04 00:00:00+00:00,NG.c.1,3144000000.0,3205000000.0,3127000000.0,3199000000.0,17489
2016-10-04 00:00:00+00:00,NG.c.0,2895000000.0,2990000000.0,2878000000.0,2979000000.0,90927
2016-10-04 00:00:00+00:00,CL.c.0,48720000000.0,49300000000.0,48260000000.0,49140000000.0,422521
2016-10-04 00:00:00+00:00,HG.c.0,2165000000.0,2179500000.0,2158500000.0,2158500000.0,32
2016-10-04 00:00:00+00:00,ZW.c.1,418000000000.0,419250000000.0,414250000000.0,416000000000.0,4408
2016-10-04 00:00:00+00:00,CL.c.1,49300000000.0,49880000000.0,48850000000.0,49720000000.0,59945
2016-10-05 00:00:00+00:00,ZC.c.1,357750000000.0,359250000000.0,355000000000.0,357500000000.0,17562
2016-10-05 00:00:00+00:00,NG.c.0,2980000000.0,3058000000.0,2922000000.0,3029000000.0,119286
2016-10-05 00:00:00+00:00,ZW.c.0,395000000000.0,408500000000.0,392000000000.0,405500000000.0,67978
2016-10-05 00:00:00+00:00,GC.c.1,1270300000000.0,1277300000000.0,1262800000000.0,1269200000000.0,397
2016-10-05 00:00:00+00:00,SI.c.1,17930000000.0,17985000000.0,17585000000.0,17780000000.0,58
2016-10-05 00:00:00+00:00,GC.c.0,1272100000000.0,1274000000000.0,1261300000000.0,1267500000000.0,75
2016-10-05 00:00:00+00:00,SI.c.0,17850000000.0,17850000000.0,17605000000.0,17765000000.0,21
2016-10-05 00:00:00+00:00,HG.c.1,2174000000.0,2174000000.0,2163500000.0,2165500000.0,19
2016-10-05 00:00:00+00:00,NG.c.1,3198000000.0,3274000000.0,3148000000.0,3254000000.0,21034
2016-10-05 00:00:00+00:00,CL.c.0,49150000000.0,49970000000.0,49110000000.0,49700000000.0,400018
2016-10-05 00:00:00+00:00,HG.c.0,2155000000.0,2169500000.0,2155000000.0,2162500000.0,30
2016-10-05 00:00:00+00:00,ZW.c.1,416500000000.0,429000000000.0,413500000000.0,426000000000.0,7149
2016-10-05 00:00:00+00:00,ZC.c.0,347750000000.0,349250000000.0,345250000000.0,347500000000.0,115602
2016-10-05 00:00:00+00:00,CL.c.1,49710000000.0,50520000000.0,49680000000.0,50260000000.0,66711
2016-10-06 00:00:00+00:00,ZC.c.1,357000000000.0,357500000000.0,348250000000.0,350750000000.0,18357
2016-10-06 00:00:00+00:00,NG.c.0,3029000000.0,3071000000.0,2972000000.0,3030000000.0,135496
2016-10-06 00:00:00+00:00,GC.c.1,1269000000000.0,1269300000000.0,1250600000000.0,1256200000000.0,709
2016-10-06 00:00:00+00:00,SI.c.1,17720000000.0,17755000000.0,17120000000.000002,17305000000.0,80
2016-10-06 00:00:00+00:00,ZW.c.0,407000000000.0,409500000000.0,393500000000.0,396250000000.0,66031
2016-10-06 00:00:00+00:00,GC.c.0,1265300000000.0,1265300000000.0,1249900000000.0,1253900000000.0,62
2016-10-06 00:00:00+00:00,SI.c.0,17745000000.0,17745000000.0,17200000000.0,17200000000.0,17
